feature,feature_importance
previous_4_week_average_revenue,0.1783661916074269
previous_8_week_average_revenue,0.1775570677174318
revenue_lag_2_weeks,0.13873551940820372
revenue_lag_4_weeks,0.1024560991720035
revenue_lag_1_week,0.09452237142312417
previous_4_week_average_sessions,0.08464605344032587
iso_week_number,0.05256962143047636
activity_month,0.040753788307250696
activity_quarter,0.031954955356383735
location_type_Entertainment Center,0.020233791763032756
location_type_Casino,0.016401442875614913
location_id_LOC0007,0.014015465353524484
location_id_LOC0005,0.010150457093556732
region_Southeast,0.004675012636943738
region_Northeast,0.004201922354244384
region_Midwest,0.004179761784027415
location_id_LOC0010,0.003992616408892989
location_id_LOC0002,0.003462573788767058
location_type_Bar,0.00306726897087464
location_id_LOC0006,0.002855873990011089
region_Southwest,0.002460221799944084
location_id_LOC0001,0.0020437396372029386
location_id_LOC0003,0.0017081510458162098
location_id_LOC0008,0.0016416932016354098
location_id_LOC0004,0.001403346471817906
region_West,0.0010799039249310954
location_id_LOC0009,0.0008650890365354397
activity_year,0.0
